cname,tname,year,role,,,,
Danny Elfman,Growing Up Kylee,2017,music department,,,,
Danny Elfman,The Simpsons,1989,music department,,,,
Danny Elfman,Batman: The Adventures Continue,2020,music department,,,,
Danny Elfman,Maggie Simpson in Rogue Not Quite One,2023,music department,,,,
Danny Elfman,Wednesday,2022,music department,,,,
Danny Elfman,Next Exit,2022,music department,,,,
Danny Elfman,When Billie Met Lisa,2022,music department,,,,
Danny Elfman,Spider-Man: No Way Home,2021,music department,,,,
Danny Elfman,The Simpsons in Plusaversary,2021,music department,,,,
Danny Elfman,The Force Awakens from Its Nap,2021,music department,,,,
Danny Elfman,The Nightmare Before Christmas in Concert,2020,music department,,,,
Danny Elfman,Playdate with Destiny,2020,music department,,,,
Danny Elfman,BaseBoys,2018,music department,,,,
Danny Elfman,"Don't Worry, He Won't Get Far on Foot",2018,music department,,,,
Danny Elfman,The Circle,N/A,music department,,,,
Danny Elfman,When We Rise,2017,music department,,,,
Danny Elfman,Justice League Action,2017,music department,,,,
Danny Elfman,Fifty Shades Darker,2017,music department,,,,
Danny Elfman,The Girl on the Train,2016,music department,,,,
Danny Elfman,Live from Lincoln Center,2015,music department,,,,
Danny Elfman,Fun Size Horror: Volume One,2015,music department,,,,
Danny Elfman,Fifty Shades of Grey,2015,music department,,,,
Danny Elfman,Big Eyes,N/A,music department,,,,
Danny Elfman,The Simpsons Take the Bowl,2014,music department,,,,
Danny Elfman,Dark Design,2014,music department,,,,
Danny Elfman,Henchman Tales,2014,music department,,,,
Danny Elfman,The Face of Revenge with Tony Gardner,2014,music department,,,,
Danny Elfman,The Name Is Durant with Larry Drake,2014,music department,,,,
Danny Elfman,Lego Batman: The Movie - DC Super Heroes Unite,2013,music department,,,,
Danny Elfman,Promised Land,2012,music department,,,,
Danny Elfman,Silver Linings Playbook,2012,music department,,,,
Danny Elfman,The Longest Daycare,2012,music department,,,,
Danny Elfman,Men in Black 3,2012,music department,,,,
Danny Elfman,Desperate Housewives,N/A,music department,,,,
Danny Elfman,Do Not Disturb,N/A,music department,,,,
Danny Elfman,The Next Three Days,2010,music department,,,,
Danny Elfman,The Simpsons 20th Anniversary Special: In 3-D! On Ice!,2010,music department,,,,
Danny Elfman,9,N/A,music department,,,,
Danny Elfman,Taking Woodstock,2009,music department,,,,
Danny Elfman,Milk,N/A,music department,,,,
Danny Elfman,Lego Batman: The Videogame,2008,music department,,,,
Danny Elfman,Standard Operating Procedure,2008,music department,,,,
Danny Elfman,The Simpsons Game,2007,music department,,,,
Danny Elfman,The Kingdom,2007,music department,,,,
Danny Elfman,The Simpsons Movie,2007,music department,,,,
Danny Elfman,Spider-Man 3,2007,music department,,,,
Danny Elfman,Meet the Robinsons,2007,music department,,,,
Danny Elfman,Charlotte's Web,2006,music department,,,,
Danny Elfman,Cinemaker,2006,music department,,,,
Danny Elfman,Desperate Housewives: The Game,2006,music department,,,,
Danny Elfman,Monster House,2006,music department,,,,
Danny Elfman,"Desperate Housewives Special: The More You Know, the Juicier It Gets",2006,music department,,,,
Danny Elfman,Desperate Housewives Special: All the Juicy Details,2006,music department,,,,
Danny Elfman,Corpse Bride,2005,music department,,,,
Danny Elfman,Desperate Housewives Special: Sorting Out the Dirty Laundry,2005,music department,,,,
Danny Elfman,No Experience Needed,2005,music department,,,,
Danny Elfman,Spider-Plant Man,2005,music department,,,,
Danny Elfman,Point Pleasant,2005,music department,,,,
Danny Elfman,Fable,2004,music department,,,,
Danny Elfman,Spider-Man 2,2004,music department,,,,
Danny Elfman,Batman: Rise of Sin Tzu,2003,music department,,,,
Danny Elfman,The Simpsons: Hit & Run,2003,music department,,,,
Danny Elfman,Hulk,2003,music department,,,,
Danny Elfman,Chicago,2002,music department,,,,
Danny Elfman,The Simpsons: Skateboarding,2002,music department,,,,
Danny Elfman,Red Dragon,2002,music department,,,,
Danny Elfman,The Simpsons: Road Rage,2001,music department,,,,
Danny Elfman,Novocaine,2001,music department,,,,
Danny Elfman,The Simpsons: Wrestling,2001,music department,,,,
Danny Elfman,Heartbreakers,2001,music department,,,,
Danny Elfman,The Family Man,2000,music department,,,,
Danny Elfman,Proof of Life,2000,music department,,,,
Danny Elfman,The World of Stainboy,2000,music department,,,,
Danny Elfman,Dilbert,1999,music department,,,,
Danny Elfman,Troldspejlet,1999,music department,,,,
Danny Elfman,Simpsons Bowling,1999,music department,,,,
Danny Elfman,Instinct,1999,music department,,,,
Danny Elfman,A Civil Action: In Pusuit of Justice,1998,music department,,,,
Danny Elfman,Psycho Path,1998,music department,,,,
Danny Elfman,A Civil Action,1998,music department,,,,
Danny Elfman,Psycho,1998,music department,,,,
Danny Elfman,Modern Vampires,1998,music department,,,,
Danny Elfman,Batman & Mr. Freeze: SubZero,1998,music department,,,,
Danny Elfman,Scream 2,1997,music department,,,,
Danny Elfman,Good Will Hunting,1997,music department,,,,
Danny Elfman,Perversions of Science,1997,music department,,,,
Danny Elfman,The Simpsons: Virtual Springfield,1997,music department,,,,
