"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0076160","movie","Hot Tomorrows","Hot Tomorrows",0,1977,"\N","73","Drama","actor",6.9,97
"tt0076160","movie","Hot Tomorrows","Hot Tomorrows",0,1977,"\N","73","Drama","actor",6.9,97
"tt0076160","movie","Hot Tomorrows","Hot Tomorrows",0,1977,"\N","73","Drama","actor",6.9,97
"tt0076172","movie","I Never Promised You a Rose Garden","I Never Promised You a Rose Garden",0,1977,"\N","96","Drama,Fantasy","actor",6.4,1504
"tt0076172","movie","I Never Promised You a Rose Garden","I Never Promised You a Rose Garden",0,1977,"\N","96","Drama,Fantasy","actor",6.4,1504
"tt0076172","movie","I Never Promised You a Rose Garden","I Never Promised You a Rose Garden",0,1977,"\N","96","Drama,Fantasy","actor",6.4,1504
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","music department",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","composer",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","actor",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","soundtrack",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","music department",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","composer",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","actor",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","music department",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","composer",6.5,5331
"tt0080752","movie","Forbidden Zone","Forbidden Zone",0,1980,"\N","74","Comedy,Fantasy,Musical","actor",6.5,5331
"tt0082676","movie","Longshot","Longshot",0,1981,"\N","100","Comedy,Drama,Sport","actor",4.8,128
"tt0082676","movie","Longshot","Longshot",0,1981,"\N","100","Comedy,Drama,Sport","soundtrack",4.8,128
"tt0082676","movie","Longshot","Longshot",0,1981,"\N","100","Comedy,Drama,Sport","actor",4.8,128
"tt0082676","movie","Longshot","Longshot",0,1981,"\N","100","Comedy,Drama,Sport","actor",4.8,128
"tt0083929","movie","Fast Times at Ridgemont High","Fast Times at Ridgemont High",0,1982,"\N","90","Comedy,Drama","soundtrack",7.1,113032
"tt0084234","movie","The Last American Virgin","The Last American Virgin",0,1982,"\N","92","Comedy,Drama,Romance","soundtrack",6.3,9477
"tt0086927","movie","Bachelor Party","Bachelor Party",0,1984,"\N","105","Comedy","soundtrack",6.3,41978
"tt0086927","movie","Bachelor Party","Bachelor Party",0,1984,"\N","105","Comedy","soundtrack",6.3,41978
"tt0086960","movie","Beverly Hills Cop","Beverly Hills Cop",0,1984,"\N","105","Action,Comedy,Crime","soundtrack",7.4,195605
"tt0086960","movie","Beverly Hills Cop","Beverly Hills Cop",0,1984,"\N","105","Action,Comedy,Crime","soundtrack",7.4,195605
"tt0088128","movie","Sixteen Candles","Sixteen Candles",0,1984,"\N","93","Comedy,Romance","soundtrack",7,123210
"tt0088207","movie","Surf II","Surf II",0,1983,"\N","86","Comedy","soundtrack",5.4,1075
"tt0088478","tvSeries","Amazing Stories","Amazing Stories",0,1985,"1987","30","Adventure,Comedy,Drama","composer",7.4,6261
"tt0088478","tvSeries","Amazing Stories","Amazing Stories",0,1985,"1987","30","Adventure,Comedy,Drama","composer",7.4,6261
"tt0088478","tvSeries","Amazing Stories","Amazing Stories",0,1985,"1987","30","Adventure,Comedy,Drama","composer",7.4,6261
"tt0089791","movie","Pee-wee's Big Adventure","Pee-wee's Big Adventure",0,1985,"\N","91","Adventure,Comedy,Family","music department",7,57998
"tt0089791","movie","Pee-wee's Big Adventure","Pee-wee's Big Adventure",0,1985,"\N","91","Adventure,Comedy,Family","composer",7,57998
"tt0089791","movie","Pee-wee's Big Adventure","Pee-wee's Big Adventure",0,1985,"\N","91","Adventure,Comedy,Family","music department",7,57998
"tt0089791","movie","Pee-wee's Big Adventure","Pee-wee's Big Adventure",0,1985,"\N","91","Adventure,Comedy,Family","composer",7,57998
