"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0166275","movie","Mob Law: A Film Portrait of Oscar Goodman","Mob Law: A Film Portrait of Oscar Goodman",0,1998,"\N","90","Biography","composer",7.8,36
"tt0172729","tvMovie","A Little Bit of Elvis","A Little Bit of Elvis",0,1998,"\N","50","\N","composer",6.4,17
"tt0209673","tvSeries","Globe Trekker","Lonely Planet",0,1994,"\N","60","Adventure,Reality-TV","composer",8.6,896
"tt0259805","tvSeries","The Royal Institution Christmas Lectures","The Royal Institution Christmas Lectures",0,2000,"2004","\N","Documentary,Family","composer",7.7,8
"tt0327373","tvSeries","Treats from the Edwardian Country House","Treats from the Edwardian Country House",0,2002,"\N","30","\N","music department",7.9,16
"tt0339957","tvMiniSeries","Manor House","The Edwardian Country House",0,2002,"\N","50","Documentary,Reality-TV","composer",8.4,549
"tt0339957","tvMiniSeries","Manor House","The Edwardian Country House",0,2002,"\N","50","Documentary,Reality-TV","soundtrack",8.4,549
"tt0354333","tvSeries","Secrets of the Dead","Secrets of the Dead",0,2000,"\N","56","Documentary,History,War","music department",7.9,629
"tt0357088","tvMovie","Real Men","Real Men",0,2003,"\N","180","Crime,Drama","composer",7.8,80
"tt0376604","tvMovie","Frank Skinner on Frank Skinner","Frank Skinner on Frank Skinner",0,2001,"\N","\N","Documentary","composer",8.1,9
"tt0381338","tvMovie","The King of Communism: The Pomp & Pageantry of Nicolae Ceausescu","The King of Communism: The Pomp & Pageantry of Nicolae Ceausescu",0,2002,"\N","60","Biography,Documentary,History","composer",7.3,164
"tt0385887","movie","Motherless Brooklyn","Motherless Brooklyn",0,2019,"\N","144","Crime,Drama,Mystery","composer",6.8,61566
"tt0387764","tvSeries","Peep Show","Peep Show",0,2003,"2015","25","Comedy","composer",8.7,64721
"tt0396031","tvMovie","George Orwell: A Life in Pictures","George Orwell: A Life in Pictures",0,2003,"\N","95","Documentary,Drama","composer",8.1,155
"tt0399479","tvMovie","Perfect Breasts","Perfect Breasts",0,2000,"\N","40","Documentary","music department",8,9
"tt0403324","videoGame","The Movies","The Movies",0,2005,"\N","\N","Action,Adventure,Comedy","composer",8.2,532
"tt0403324","videoGame","The Movies","The Movies",0,2005,"\N","\N","Action,Adventure,Comedy","music department",8.2,532
"tt0407988","tvMovie","Men of Iron","Men of Iron",0,2004,"\N","146","Documentary","composer",7.4,11
"tt0409608","tvSeries","Ramsay's Kitchen Nightmares","Ramsay's Kitchen Nightmares",0,2004,"2014","60","Reality-TV","composer",7.6,6483
"tt0412137","tvSeries","Hell's Kitchen","Hell's Kitchen",0,2004,"2009","60","Reality-TV","composer",6.7,1576
"tt0412511","movie","Big Kiss","Big Kiss",0,2004,"\N","90","Action,Comedy,Romance","composer",7.7,65
"tt0415118","tvMovie","The Life of a Ten Pound Note","The Life of a Ten Pound Note",0,2003,"\N","90","Documentary","composer",8.2,9
"tt0417301","tvSeries","Lads Army","Lads Army",0,2002,"2006","60","Comedy,History,Reality-TV","composer",7.9,180
"tt0447763","tvSeries","High Spirits with Shirley Ghostman","High Spirits with Shirley Ghostman",0,2005,"\N","30","Comedy","music department",8.7,255
"tt0457292","tvMovie","Born with Two Mothers","Born with Two Mothers",0,2005,"\N","90","Drama","composer",7.4,30
"tt0475296","tvMovie","Hiroshima","Hiroshima",0,2005,"\N","90","Documentary,Drama,History","composer",7.8,1858
"tt0483862","tvSeries","Suburban Shootout","Suburban Shootout",0,2006,"2007","22","Comedy,Crime","composer",6.9,594
"tt0490208","tvMovie","SAS: Iranian Embassy Siege","SAS: Iranian Embassy Siege",0,2002,"\N","\N","Documentary","composer",8.6,32
"tt0491149","tvMovie","Shoreditch Twat","Shoreditch Twat",0,2002,"\N","30","Comedy","composer",8.1,17
"tt0492429","tvSeries","I Shouldn't Be Alive","I Shouldn't Be Alive",0,2005,"2012","60","Biography,Documentary,Drama","composer",8.1,2278
"tt0498838","tvMovie","Sex Addict","Sex Addict",0,2005,"\N","60","Documentary","music department",7.8,10
"tt0760139","tvSeries","Prehistoric Park","Prehistoric Park",0,2006,"2006","60","Adventure,Documentary,Drama","composer",7.6,1732
"tt0760139","tvSeries","Prehistoric Park","Prehistoric Park",0,2006,"2006","60","Adventure,Documentary,Drama","music department",7.6,1732
"tt0804429","tvSeries","That'll Teach 'Em","That'll Teach 'Em",0,2003,"2006","\N","Documentary,Family,History","composer",7.9,38
"tt0810892","tvMovie","The Haunted Airman","The Haunted Airman",0,2006,"\N","68","Drama,Horror,Thriller","composer",4.4,2109
"tt0815079","tvSeries","Speed Machines","Speed Machines",0,2003,"\N","60","Documentary","composer",8.3,8
"tt0835456","tvMovie","Forgiven","Forgiven",0,2007,"\N","75","Drama","composer",6.9,80
"tt0862733","tvMovie","Jamie's Return to School Dinners","Jamie's Return to School Dinners",0,2006,"\N","62","Documentary","composer",6.4,34
"tt0870211","movie","Battle for Haditha","Battle for Haditha",0,2007,"\N","97","Drama,History,War","music department",6.9,7513
"tt0896362","tvSeries","The River Cottage Treatment","The River Cottage Treatment",0,2006,"2006","\N","Documentary","music department",7.8,49
"tt0977628","tvSeries","The Great British Menu","Great British Menu",0,2006,"\N","\N","Reality-TV","composer",7.4,439
"tt0981537","tvEpisode","Nature","Nature",0,2000,"\N","25","Animation,Comedy,Family","composer",8,16
"tt1008213","tvMiniSeries","The Gambler","The Gambler",0,2000,"\N","50","Documentary","composer",8.1,21
"tt1008708","tvMovie","Pissed on the Job","Pissed on the Job",0,2004,"\N","\N","Drama","composer",7.7,7
"tt10171106","short","Michael vs Jason: Evil Emerges","Michael vs Jason: Evil Emerges",0,2019,"\N","29","Action,Horror,Short","soundtrack",6.5,248
"tt10243640","tvSeries","1994","1994",0,2019,"\N","\N","Documentary,History","soundtrack",7.6,576
"tt10304142","movie","Amsterdam","Amsterdam",0,2022,"\N","134","Comedy,Drama,History","composer",6.1,85900
"tt10304142","movie","Amsterdam","Amsterdam",0,2022,"\N","134","Comedy,Drama,History","soundtrack",6.1,85900
"tt1045236","tvMovie","The Truth About Gay Animals","The Truth About Gay Animals",0,2002,"\N","48","Documentary","music department",5.8,19
"tt10471902","tvSpecial","The Oscars","The 93rd Oscars",0,2021,"\N","150","Music","soundtrack",3.6,1190
"tt1070874","movie","The Trial of the Chicago 7","The Trial of the Chicago 7",0,2020,"\N","129","Drama,History,Thriller","composer",7.7,188903
"tt1070874","movie","The Trial of the Chicago 7","The Trial of the Chicago 7",0,2020,"\N","129","Drama,History,Thriller","music department",7.7,188903
"tt1070874","movie","The Trial of the Chicago 7","The Trial of the Chicago 7",0,2020,"\N","129","Drama,History,Thriller","soundtrack",7.7,188903
"tt10821190","tvSpecial","2020 Golden Globe Awards","2020 Golden Globe Awards",0,2020,"\N","134","Comedy","self",7.3,959
"tt10851618","movie","Rising Phoenix","Rising Phoenix",0,2020,"\N","105","Documentary,Sport","composer",8.1,1808
"tt10924716","movie","The Crystal Calls - Making the Dark Crystal: Age of Resistance","The Crystal Calls - Making the Dark Crystal: Age of Resistance",0,2019,"\N","82","Documentary","self",7.5,570
"tt1137428","tvMovie","Soviet War Scare 1983","Soviet War Scare 1983",0,2007,"\N","120","Documentary,Drama,History","composer",7.9,105
"tt1169424","tvSeries","Clone","Clone",0,2008,"2008","30","Comedy,Sci-Fi","composer",5.2,239
"tt11760870","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","\N","Comedy","composer",7.6,20
"tt11760870","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","\N","Comedy","soundtrack",7.6,20
"tt1179614","tvSeries","The Love Trap","The Love Trap",0,2007,"\N","48","Comedy,Reality-TV,Romance","composer",7.6,15
"tt12037980","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","5","Comedy","composer",7.2,40
"tt12037980","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","5","Comedy","soundtrack",7.2,40
"tt1253869","tvMiniSeries","Occupation","Occupation",0,2009,"2009","\N","Drama,War","composer",7.6,719
"tt12614214","tvSeries","The Afterparty","The Afterparty",0,2022,"2023","35","Comedy,Crime,Mystery","composer",7.3,19693
"tt1262404","tvMovie","Blowing Up Paradise","Blowing Up Paradise",0,2005,"\N","80","Documentary","composer",8.3,18
"tt12636896","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","8","Comedy,Talk-Show","composer",6.3,13
"tt12636896","tvEpisode","Birds of Prey","Birds of Prey",0,2020,"\N","8","Comedy,Talk-Show","soundtrack",6.3,13
"tt1270797","movie","Venom","Venom",0,2018,"\N","112","Action,Adventure,Sci-Fi","soundtrack",6.6,522878
"tt1286742","tvMovie","Clash of the Santas","Clash of the Santas",0,2008,"\N","120","Drama","composer",6.3,187
"tt1287327","tvMovie","Cult Killer: The Story of Rick Rodriguez","Cult Killer",0,2006,"\N","48","Documentary","composer",7.1,63
"tt1309457","videoGame","LittleBigPlanet","LittleBigPlanet",0,2008,"\N","\N","Adventure,Fantasy","composer",8.1,1975
"tt1309457","videoGame","LittleBigPlanet","LittleBigPlanet",0,2008,"\N","\N","Adventure,Fantasy","soundtrack",8.1,1975
"tt1313064","tvMiniSeries","Great Artists with Tim Marlow","Great Artists with Tim Marlow",0,2001,"\N","23","Documentary","composer",8.4,74
"tt13270424","movie","Brian and Charles","Brian and Charles",0,2022,"\N","90","Comedy,Drama,Sci-Fi","composer",6.7,7638
"tt13270424","movie","Brian and Charles","Brian and Charles",0,2022,"\N","90","Comedy,Drama,Sci-Fi","soundtrack",6.7,7638
"tt1333064","tvMovie","Best: His Mother's Son","Best: His Mother's Son",0,2009,"\N","90","Comedy,Drama","composer",7,76
"tt1346018","tvMiniSeries","Desperate Romantics","Desperate Romantics",0,2009,"2009","\N","Drama","composer",7.4,1994
"tt13577160","tvSpecial","Cinderella: A Comic Relief Pantomime for Christmas","Cinderella: A Comic Relief Pantomime for Christmas",0,2020,"\N","60","Comedy","music department",6.5,140
"tt1360596","tvMiniSeries","Runaway","Runaway",0,2009,"\N","90","Drama,Family","composer",7.1,40
"tt13623992","tvSeries","Welcome to Earth","Welcome to Earth",0,2021,"2021","44","Adventure,Documentary","composer",7.8,3031
"tt13640696","movie","See How They Run","See How They Run",0,2022,"\N","98","Comedy,Crime,Mystery","composer",6.5,60424
"tt1441589","tvSeries","Heroes and Villains","Heroes and Villains",0,2007,"2008","\N","Biography,Documentary,Drama","music department",7.6,307
"tt14477048","tvSpecial","Oscars: Into the Spotlight","Oscars: Into the Spotlight",0,2021,"\N","\N","\N","soundtrack",5.4,23
"tt14477048","tvSpecial","Oscars: Into the Spotlight","Oscars: Into the Spotlight",0,2021,"\N","\N","\N","self",5.4,23
"tt14638352","short","Forfiter","Forfiter",0,2021,"\N","31","Action,Comedy,Sci-Fi","soundtrack",8.7,308
"tt14641788","movie","Enola Holmes 2","Enola Holmes 2",0,2022,"\N","129","Action,Adventure,Crime","composer",6.8,94165
"tt14641788","movie","Enola Holmes 2","Enola Holmes 2",0,2022,"\N","129","Action,Adventure,Crime","actor",6.8,94165
"tt1486531","tvSeries","Wildest Dreams","Wildest Dreams",0,2009,"\N","\N","Reality-TV","composer",7.3,13
"tt1486531","tvSeries","Wildest Dreams","Wildest Dreams",0,2009,"\N","\N","Reality-TV","music department",7.3,13
"tt1520380","short","Runaway","Runaway",0,2009,"\N","9","Animation,Comedy,Romance","composer",7.1,347
"tt15224956","tvEpisode","The Rescue","The Rescue",0,2021,"\N","\N","Action,Adventure,Animation","composer",7.4,39
"tt15224956","tvEpisode","The Rescue","The Rescue",0,2021,"\N","\N","Action,Adventure,Animation","music department",7.4,39
"tt15224956","tvEpisode","The Rescue","The Rescue",0,2021,"\N","\N","Action,Adventure,Animation","soundtrack",7.4,39
"tt15292806","tvSpecial","Attack of the Hollywood Cliches!","Attack of the Hollywood Cliches!",0,2021,"\N","58","Comedy,Documentary","self",6.1,4405
"tt15354966","movie","Lovers","Lovers",0,2020,"\N","72","Action,Comedy,Drama","music department",8.5,10
"tt1568328","movie","Enemies of the People","Enemies of the People",0,2009,"\N","93","Documentary","composer",7.7,546
"tt1574503","tvSeries","Commanders at War","Generals at War",0,2009,"\N","\N","Documentary,History,War","composer",8,142
"tt1612560","videoGame","Lego Star Wars III: The Clone Wars","Lego Star Wars III: The Clone Wars",0,2011,"\N","\N","Action,Adventure,Comedy","composer",7.6,2075
"tt16371468","tvEpisode","Being the Ricardos","Being the Ricardos",0,2021,"\N","\N","Talk-Show","composer",6.1,29
"tt1638355","movie","The Man from U.N.C.L.E.","The Man from U.N.C.L.E.",0,2015,"\N","116","Action,Adventure,Comedy","composer",7.2,326223
"tt1663344","videoGame","LittleBigPlanet 2","LittleBigPlanet 2",0,2011,"\N","\N","Adventure,Fantasy","soundtrack",8.2,1150
"tt1682815","tvSeries","The Sorcerer's Apprentice","The Sorcerer's Apprentice",0,2007,"\N","\N","Family,Reality-TV","music department",6.9,13
"tt1702425","movie","Casa de mi Padre","Casa de mi padre",0,2012,"\N","85","Comedy,Western","soundtrack",5.5,21501
"tt1732159","movie","Self Made","Self Made",0,2010,"\N","88","Documentary","composer",7,59
"tt1748226","short","The Coldest Caller","The Coldest Caller",0,2011,"\N","4","Comedy,Short","music department",6.6,30
"tt1751231","tvSeries","Nigella Kitchen","Nigella Kitchen",0,2010,"\N","\N","Documentary","music department",7.6,64
"tt1782013","tvSeries","Combat Kids","Combat Kids",0,2010,"\N","90","Family,Fantasy","composer",7.6,20
"tt1782352","tvSeries","Upstairs Downstairs","Upstairs Downstairs",0,2010,"2012","60","Drama","composer",7.4,6649
"tt1782352","tvSeries","Upstairs Downstairs","Upstairs Downstairs",0,2010,"2012","60","Drama","soundtrack",7.4,6649
"tt1784432","short","Factory Farmed","Factory Farmed",0,2008,"\N","5","Sci-Fi,Short","composer",5.7,225
"tt1850984","movie","Between Life and Death","Between Life and Death",0,2010,"\N","51","Documentary","composer",7.6,36
"tt1878991","tvMovie","Meet the Elephant Man","Meet the Elephant Man",0,2011,"\N","\N","Documentary,History","music department",6.6,21
"tt18814244","tvSeries","Amsterdam","Amsterdam",0,2022,"\N","35","Comedy,Romance","composer",7.2,369
"tt18814244","tvSeries","Amsterdam","Amsterdam",0,2022,"\N","35","Comedy,Romance","soundtrack",7.2,369
"tt18989558","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Comedy,Romance","composer",6.6,21
"tt18989558","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Comedy,Romance","soundtrack",6.6,21
"tt1932099","tvSeries","Long Lost Family","Long Lost Family",0,2011,"\N","\N","Reality-TV","music department",8.2,241
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","composer",6.7,227889
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","music department",6.7,227889
"tt1972591","movie","King Arthur: Legend of the Sword","King Arthur: Legend of the Sword",0,2017,"\N","126","Action,Adventure,Drama","soundtrack",6.7,227889
"tt2002794","tvMovie","Space Dive","Space Dive",0,2012,"\N","90","Documentary","composer",7.3,343
"tt2033953","videoGame","Battalion Wars 2","Battalion Wars 2",0,2007,"\N","\N","Action,Family,Thriller","thanks",7.2,15
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","composer",7.2,176087
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","music department",7.2,176087
"tt2080374","movie","Steve Jobs","Steve Jobs",0,2015,"\N","122","Biography,Drama","soundtrack",7.2,176087
"tt2148433","tvMiniSeries","Public Enemies","Public Enemies",0,2012,"2012","60","Crime,Drama","composer",7,756
"tt2188249","tvSeries","Prisoners Wives","Prisoners Wives",0,2012,"2013","60","Drama","composer",7.6,1071
"tt2193215","movie","The Counselor","The Counselor",0,2013,"\N","117","Action,Adventure,Crime","composer",5.4,104534
"tt2195046","short","The Tortoise","The Tortoise",0,2012,"\N","10","Adventure,Animation,Comedy","composer",6.4,8
"tt2200889","tvSeries","Underworld: Flooded Kingdoms of the Ice Age","Underworld: Flooded Kingdoms of the Ice Age",0,2002,"2002","\N","Documentary","composer",8.2,43
"tt2224119","tvMovie","Complicit","Complicit",0,2013,"\N","99","Drama,Thriller","composer",6.2,786
"tt2239949","tvSeries","Pramface","Pramface",0,2012,"2014","\N","Comedy","composer",7.5,2643
"tt22442220","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Talk-Show","composer",8.2,30
"tt22442220","tvEpisode","Amsterdam","Amsterdam",0,2022,"\N","\N","Talk-Show","soundtrack",8.2,30
"tt2249786","movie","50 Kisses","50 Kisses",0,2014,"\N","89","Comedy,Drama,Horror","music department",6.4,204
