"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0014497","movie","Souls for Sale","Souls for Sale",0,1923,"\N","90","Comedy,Drama,Romance","thanks",7,1065
"tt0018397","movie","The Show","The Show",0,1927,"\N","76","Crime,Drama","thanks",6.9,664
"tt0083906","movie","Eureka","Eureka",0,1983,"\N","130","Drama,Thriller","music department",5.9,3671
"tt0084354","movie","Moonlighting","Moonlighting",0,1982,"\N","97","Drama","music department",7.3,3410
"tt0087412","movie","The Story of O 2","Histoire d'O: Chapitre 2",0,1984,"\N","108","Drama","music department",3.6,440
"tt0088200","movie","Success Is the Best Revenge","Success Is the Best Revenge",0,1984,"\N","91","Drama","composer",5.8,241
"tt0089343","movie","Insignificance","Insignificance",0,1985,"\N","109","Comedy","music department",6.5,3826
"tt0089343","movie","Insignificance","Insignificance",0,1985,"\N","109","Comedy","composer",6.5,3826
"tt0089491","movie","The Lightship","The Lightship",0,1985,"\N","89","Crime,Drama,Thriller","music department",6.3,1034
"tt0090324","tvMovie","Wild Horses","Wild Horses",0,1985,"\N","91","Drama,Western","composer",5.7,156
"tt0091578","movie","My Beautiful Laundrette","My Beautiful Laundrette",0,1985,"\N","97","Comedy,Drama,Romance","music department",6.8,17019
"tt0091578","movie","My Beautiful Laundrette","My Beautiful Laundrette",0,1985,"\N","97","Comedy,Drama,Romance","composer",6.8,17019
"tt0091923","movie","Separate Vacations","Separate Vacations",0,1986,"\N","91","Comedy","composer",4.6,282
"tt0092288","movie","The Zero Boys","The Zero Boys",0,1986,"\N","89","Action,Horror,Thriller","composer",5.2,2714
"tt0092732","movie","Castaway","Castaway",0,1986,"\N","117","Adventure,Biography,Drama","music department",5.8,3410
"tt0093389","movie","The Last Emperor","The Last Emperor",0,1987,"\N","163","Biography,Drama,History","music department",7.7,109210
"tt0093776","movie","Prick Up Your Ears","Prick Up Your Ears",0,1987,"\N","105","Biography,Drama","music department",7.1,6445
"tt0093776","movie","Prick Up Your Ears","Prick Up Your Ears",0,1987,"\N","105","Biography,Drama","additional crew",7.1,6445
"tt0094122","movie","Terminal Exposure","Terminal Exposure",0,1987,"\N","105","Comedy,Crime","composer",4.4,1354
"tt0094327","video","The Wind","The Wind",0,1986,"\N","92","Horror,Thriller","music department",5,1951
"tt0094327","video","The Wind","The Wind",0,1986,"\N","92","Horror,Thriller","composer",5,1951
"tt0094816","movie","Burning Secret","Burning Secret",0,1988,"\N","106","Drama","composer",6.6,505
"tt0095183","movie","The Fruit Machine","The Fruit Machine",0,1988,"\N","103","Drama","composer",6.3,596
"tt0095953","movie","Rain Man","Rain Man",0,1988,"\N","133","Drama","composer",8,536369
"tt0096154","movie","Spies Inc.","Spies Inc.",0,1992,"\N","93","Adventure,Comedy","composer",4,122
"tt0096211","movie","Taffin","Taffin",0,1988,"\N","96","Action,Thriller","composer",5.6,2043
"tt0096294","movie","Track 29","Track 29",0,1988,"\N","91","Drama,Mystery","thanks",5.9,2406
"tt0096321","movie","Twister","Twister",0,1989,"\N","93","Comedy,Drama","composer",5.2,2228
"tt0096464","movie","A World Apart","A World Apart",0,1988,"\N","112","Drama","composer",7.1,1759
"tt0096464","movie","A World Apart","A World Apart",0,1988,"\N","112","Drama","soundtrack",7.1,1759
"tt0096584","tvMiniSeries","First Born","First Born",0,1988,"1988","150","Drama,Sci-Fi","composer",7.2,295
"tt0096933","movie","Black Rain","Black Rain",0,1989,"\N","125","Action,Crime,Drama","composer",6.6,58374
"tt0096933","movie","Black Rain","Black Rain",0,1989,"\N","125","Action,Crime,Drama","soundtrack",6.6,58374
"tt0097158","movie","Diamond Skulls","Diamond Skulls",0,1989,"\N","100","Drama,Thriller","composer",4.8,381
"tt0097239","movie","Driving Miss Daisy","Driving Miss Daisy",0,1989,"\N","99","Comedy,Drama,Romance","music department",7.3,115666
"tt0097239","movie","Driving Miss Daisy","Driving Miss Daisy",0,1989,"\N","99","Comedy,Drama,Romance","composer",7.3,115666
"tt0097694","movie","Black Rain","Kuroi ame",0,1989,"\N","123","Drama,War","composer",7.8,3819
"tt0097694","movie","Black Rain","Kuroi ame",0,1989,"\N","123","Drama,War","soundtrack",7.8,3819
"tt0098061","movie","Paperhouse","Paperhouse",0,1988,"\N","92","Drama,Fantasy","composer",6.6,6190
"tt0098651","movie","Prisoner of Rio","Prisoner of Rio",0,1988,"\N","90","Biography,Drama,Thriller","music department",5.8,111
"tt0099141","movie","Bird on a Wire","Bird on a Wire",0,1990,"\N","110","Action,Comedy","composer",6,46697
"tt0099250","movie","Chicago Joe and the Showgirl","Chicago Joe and the Showgirl",0,1990,"\N","103","Crime,Drama,Romance","composer",5,784
"tt0099343","movie","Dakota Road","Dakota Road",0,1991,"\N","88","Drama","music department",6.9,53
"tt0099371","movie","Days of Thunder","Days of Thunder",0,1990,"\N","107","Action,Drama,Sport","composer",6.1,94407
"tt0099371","movie","Days of Thunder","Days of Thunder",0,1990,"\N","107","Action,Drama,Sport","soundtrack",6.1,94407
"tt0099594","movie","Fools of Fortune","Fools of Fortune",0,1990,"\N","109","Drama,Romance","composer",5.3,253
"tt0099699","movie","Green Card","Green Card",0,1990,"\N","107","Comedy,Drama,Romance","composer",6.3,25507
"tt0100261","movie","Nightmare at Noon","Nightmare at Noon",0,1988,"\N","96","Action,Horror,Sci-Fi","composer",4.9,2181
"tt0100318","movie","Pacific Heights","Pacific Heights",0,1990,"\N","102","Thriller","composer",6.4,22125
"tt0101393","movie","Backdraft","Backdraft",0,1991,"\N","137","Action,Drama,Mystery","music department",6.7,85929
"tt0101393","movie","Backdraft","Backdraft",0,1991,"\N","137","Action,Drama,Mystery","composer",6.7,85929
"tt0102178","movie","K2","K2",0,1991,"\N","102","Adventure,Drama,Sport","composer",6.2,7094
"tt0102178","movie","K2","K2",0,1991,"\N","102","Adventure,Drama,Sport","soundtrack",6.2,7094
"tt0102768","movie","Regarding Henry","Regarding Henry",0,1991,"\N","108","Drama,Romance","composer",6.7,33910
"tt0103074","movie","Thelma & Louise","Thelma & Louise",0,1991,"\N","130","Adventure,Crime,Drama","music department",7.6,166998
"tt0103074","movie","Thelma & Louise","Thelma & Louise",0,1991,"\N","130","Adventure,Crime,Drama","composer",7.6,166998
"tt0103074","movie","Thelma & Louise","Thelma & Louise",0,1991,"\N","130","Adventure,Crime,Drama","soundtrack",7.6,166998
"tt0103493","tvSeries","Millennium: Tribal Wisdom and the Modern World","Millennium: Tribal Wisdom and the Modern World",0,1992,"\N","\N","\N","music department",6.5,30
